Account Username	Account Password	Account Contact First Name	Account Contact Last Name	Account Contact Company	Account Contact Address	Account Contact Address2	Account Contact Country	Account Contact State	Account Contact City	Account Contact Postal Code	Account Contact Phone	Account Contact Fax	Account Contact Email	Account Contact URL	Legacy ID	Listing ID	Listing Title	Listing Email	Listing URL	Listing Address	Listing Address2	Listing Country	Listing Country Abbreviation	Listing Region	Listing Region Abbreviation	Listing State	Listing State Abbreviation	Listing City	Listing City Abbreviation	Listing Neighborhood	Listing Neighborhood Abbreviation	Listing Postal Code	Listing Latitude	Listing Longitude	Listing Phone	Listing Fax	Listing Short Description	Listing Long Description	Listing Keywords	Updated Date	Listing Renewal Date	Listing Status	Listing Level	Listing Category 1	Listing Category 2	Listing Category 3	Listing Category 4	Listing Category 5	Listing Template
																	Advantage Pro Accounting Inc			6605 Pittsford Palmyra Rd		United States	USA			New York	NY	Fairport				14450			(585) 425-2776				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Affordable Tax Service			185 Saint Patrick Dr		United States	USA			New York	NY	Rochester				14623			(585) 334-1422				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Agostinelli Michael D CPA			28 E Main St, Ste 1000		United States	USA			New York	NY	Rochester				14614			(585) 454-4161				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Allan Marlea M			1100 University Ave # 113		United States	USA			New York	NY	Rochester				14607			(585) 424-2436				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	AML Accounting & Tax Svc			157 Southampton Dr		United States	USA			New York	NY	Rochester				14616			(585) 865-7262				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Ange Joseph C Jr CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Ange Jr, Joseph C, Cpa - Rotenberg & Co			1870 Winton Rd S # 200		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Annunziata Stephanie CPA			260 Plymouth Ave S		United States	USA			New York	NY	Rochester				14608			(585) 232-2956				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Antonucci Ronald R CPA			687 Lee Rd # 210A		United States	USA			New York	NY	Rochester				14606			(585) 254-7790				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Arena Joseph Income Tax			1703 Monroe Ave		United States	USA			New York	NY	Rochester				14618			(585) 473-3590				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Arthur Andersen LLP			100 Chestnut St # 1500		United States	USA			New York	NY	Rochester				14604			(585) 399-2800				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Ayala & Company			209 Brayton Road		United States	USA			New York	NY	Rochester				14616			(585) 354-1915				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bacchetta John & Sons			1215 Mount Read Blvd		United States	USA			New York	NY	Rochester				14606			(585) 458-6868				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Back Office Systems Solutions			7 Goldfinch Dr		United States	USA			New York	NY	West Henrietta				14586			(585) 487-8312				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Backus & Legawiec CPA			63 Monroe Ave # C		United States	USA			New York	NY	Pittsford				14534			(585) 586-7210				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Baier & Williams			350 Calkins Rd		United States	USA			New York	NY	Rochester				14623			(585) 334-1640				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Baier Daniel J CPA PC			350 Calkins Rd		United States	USA			New York	NY	Rochester				14623			(585) 334-1640				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bailey Carr & Co			2565 Brighton Henrietta Town Line Rd		United States	USA			New York	NY	Rochester				14623			(585) 272-9870				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bailey William S CPA			30 Grove St		United States	USA			New York	NY	Pittsford				14534			(585) 248-5540				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bancroft Karen M CPA			491 Whitney Rd		United States	USA			New York	NY	Penfield				14526			(585) 586-4883				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Baniewicz & Associates CPA			1478 Marsh Rd		United States	USA			New York	NY	Pittsford				14534			(585) 383-4330				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Barberi Accounting & Tax Service			687 Lee Rd		United States	USA			New York	NY	Rochester				14606			(585) 225-9260				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Barberi Accounting & Tax Svc			7 Hunt Holw		United States	USA			New York	NY	Rochester				14624			(585) 225-9260				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Barr James H CPA			100 Chestnut St		United States	USA			New York	NY	Rochester				14604			(585) 423-1860				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bennett Jr Donald CPA			1 Grove St # 200		United States	USA			New York	NY	Pittsford				14534			(585) 385-5680				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Berardi CPA P			34 Buckman Rd		United States	USA			New York	NY	Rochester				14615			(585) 364-6235				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bernardi & Hojnacki			40 Barrett Dr		United States	USA			New York	NY	Webster				14580			(585) 217-9393				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Beyond Basic Medical Billing			18 Hiram Way		United States	USA			New York	NY	Honeoye Falls				14472			(585) 624-7890				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bianchi Cortese & Bianchi LLC			1749 Lyell Ave		United States	USA			New York	NY	Rochester				14606			(585) 254-4485				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bickel & Dewar			11 N Main St		United States	USA			New York	NY	Fairport				14450			(585) 223-3333				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bisuito & Co			100 Chestnut St # 1500		United States	USA			New York	NY	Rochester				14604			(585) 454-2170				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bizunion Inc			2024 W Henrietta Rd # 4B		United States	USA			New York	NY	Rochester				14623			(585) 272-0350				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Black Jean A CPA			24 West Ave # 5		United States	USA			New York	NY	Spencerport				14559			(585) 352-8211				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Blakesly Jackie CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Blaszkow Anthony CPA			967 Titus Ave		United States	USA			New York	NY	Rochester				14617			(585) 544-7847				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Blood Mark S Certified Public Acc			39 State St		United States	USA			New York	NY	Rochester				14614			(585) 546-1840				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	BOA Services Inc			398 Salt Rd		United States	USA			New York	NY	Webster				14580			(585) 265-2310				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bonadio Group			171 Sullys Trl # 201		United States	USA			New York	NY	Pittsford				14534			(585) 381-1000				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bond Jerry L CPA			143 Burwell Rd		United States	USA			New York	NY	Rochester				14617			(585) 342-6345				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bonn Shortsleeve & Ray			300 Linden Oaks		United States	USA			New York	NY	Rochester				14625			(585) 381-9660				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bonn, Dioguardi & Ray, LLP			70 Linden Oaks, Floor 1		United States	USA			New York	NY	Rochester				14625			(585) 381-9660				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bott John C CPA			460 State St Ste 303		United States	USA			New York	NY	Rochester				14608			(585) 325-3140				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bottini Nicholas CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bottom Line Accounting			49 Macedon Center Rd		United States	USA			New York	NY	Fairport				14450			(585) 425-7551				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Boychuk & Co			111 Marsh Rd		United States	USA			New York	NY	Pittsford				14534			(585) 899-6190				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Brad Heutmaker Speaks			4630 Saint Paul Blvd		United States	USA			New York	NY	Rochester				14617			(585) 831-8141				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Braverman Sidney M CPA			28 E Main St Ste 1000		United States	USA			New York	NY	Rochester				14614			(585) 454-4161				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Brian Sutton Inc			5024 Dewey Ave		United States	USA			New York	NY	Rochester				14612			(585) 621-6568				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Brophy Dailey & Incardona			150 Allens Creek Rd		United States	USA			New York	NY	Rochester				14618			(585) 256-1550				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Brown Raymond S CPA Ofc			108 S Union St		United States	USA			New York	NY	Rochester				14607			(585) 546-4480				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bucci Rick J CPA			491 Whitney Rd		United States	USA			New York	NY	Penfield				14526			(585) 230-5239				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Bud & Cooper Consultants			34 English Station Rd		United States	USA			New York	NY	Rochester				14616			(585) 227-4340				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Budget Accounting			3319 Dewey Ave		United States	USA			New York	NY	Rochester				14616			(585) 621-2036				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Burgos Income Tax Inc			577 Thurston Rd		United States	USA			New York	NY	Rochester				14619			(585) 568-8818				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Burgos Income Tax Svc			1042 Norton St		United States	USA			New York	NY	Rochester				14621			(585) 338-9250				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Burke Kenneth J CPA			100 Chestnut St		United States	USA			New York	NY	Rochester				14604			(585) 423-1860				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Butler & Butler			561 Titus Ave		United States	USA			New York	NY	Rochester				14617			(585) 342-0101				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cain Michelle M CPA			100 Chestnut St		United States	USA			New York	NY	Rochester				14604			(585) 423-1860				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Camarella Louis J Jr CPA			280 Kenneth Dr		United States	USA			New York	NY	Rochester				14623			(585) 295-0550				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Camp Owners of New York			1 Grove St Ste 200		United States	USA			New York	NY	Pittsford				14534			(585) 385-5680				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Capital Accounting Svc			224 Impala Dr		United States	USA			New York	NY	Rochester				14609			(585) 266-8095				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Celona Francis M CPA			1170 Chili Ave		United States	USA			New York	NY	Rochester				14624			(585) 279-0120				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chaintreuil Jean Philip			510 Kreag Rd		United States	USA			New York	NY	Pittsford				14534			(585) 248-5020				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chaintreuil Jean Philip CPA			1170 Pittsford Victor Rd		United States	USA			New York	NY	Pittsford				14534			(585) 248-5020				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chamber Benefits Trust			669 State Route 31		United States	USA			New York	NY	Macedon				14502			(315) 986-3020				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chapin Charles R CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chapman & Co			1163 Pittsford Victor Rd Ste 130		United States	USA			New York	NY	Pittsford				14534			(585) 249-5060				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chiavetta Thomas CPA			100 Meridian Centre Blvd		United States	USA			New York	NY	Rochester				14618			(585) 271-2300				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Chili Tax & Accounting			663 Thurston Rd		United States	USA			New York	NY	Rochester				14619			(585) 235-3900				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cjw Tax & Accounting Service			635 Genesee St		United States	USA			New York	NY	Rochester				14611			(585) 987-1103				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cointot Garry W CPA			349 W Commercial St		United States	USA			New York	NY	East Rochester				14445			(585) 387-0330				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Colosimo James CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Comprehensive Business Svc			762 Cross Keys Office Park		United States	USA			New York	NY	Fairport				14450			(585) 223-1555				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Conlon & Co Pllc Cpa's			1635 Brooks Ave		United States	USA			New York	NY	Rochester				14624			(585) 328-4990				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Conlon & Company Certified Public Accountants			1635 Brooks Ave		United States	USA			New York	NY	Rochester				14624			(585) 328-4990				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Costanza Tax Service			1525 Ayrault Rd		United States	USA			New York	NY	Fairport				14450			(585) 223-9255				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cpa Payroll			29 Goodway Dr		United States	USA			New York	NY	Rochester				14623			(585) 475-1320				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Creative Correspondence Centre Inc			25 Renaissance Dr		United States	USA			New York	NY	Rochester				14626			(585) 225-8549				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cross Alan R			1425 Portland Ave		United States	USA			New York	NY	Rochester				14621			(585) 922-4000				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Cummings Patricia CPA			2565 Brighton Henrietta Town Line Rd		United States	USA			New York	NY	Rochester				14623			(585) 272-9870				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Curb Magic Inc			1850 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 244-2000				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	D'agostino Raymond J CPA			2200 Chase Sq		United States	USA			New York	NY	Rochester				14604			(585) 238-3300				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Daitz Robert A CPA			24 Grove St # B		United States	USA			New York	NY	Pittsford				14534			(585) 641-0781				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Daly Sirianni & Co			7355 State Route 96		United States	USA			New York	NY	Victor				14564			(585) 924-2190				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Damia Alfred E CPA			680 Ridge Rd # 7		United States	USA			New York	NY	Webster				14580			(585) 671-6510				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dandrea Lynn A CPA			115 Metro Park		United States	USA			New York	NY	Rochester				14623			(585) 232-8550				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	David J Mear Inc			169 Dale Rd		United States	USA			New York	NY	Rochester				14625			(585) 381-5631				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Davie Kaplan PC			28 E Main St Ste 1000		United States	USA			New York	NY	Rochester				14614			(585) 454-4161				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	De Joy Knauf & Blood LLP			39 State St Ste 600		United States	USA			New York	NY	Rochester				14614			(585) 546-1840				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	De Mott & Smith			100 White Spruce Blvd		United States	USA			New York	NY	Rochester				14623			(585) 272-9880				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Debellis James S CPA			1170 Chili Ave		United States	USA			New York	NY	Rochester				14624			(585) 279-0120				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dell Kenneth CPA			3 Holley Ridge Cir		United States	USA			New York	NY	Rochester				14625			(585) 586-5010				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dell Miriam R			3 Holley Ridge Cir		United States	USA			New York	NY	Rochester				14625			(585) 586-5010				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Deloitte & Touche LLP			2200 Chase Sq		United States	USA			New York	NY	Rochester				14604			(585) 238-3300				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Demott Thomas J CPA			11 Wexford Gln		United States	USA			New York	NY	Pittsford				14534			(585) 385-4117				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Denny Robert R Cpa			1577 W Ridge Rd Ste 203		United States	USA			New York	NY	Rochester				14615			(585) 621-7277				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Desmond Michael D CPA			260 Plymouth Ave S		United States	USA			New York	NY	Rochester				14608			(585) 232-2956				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Devolder Marcia D CPA			1478 Marsh Rd		United States	USA			New York	NY	Pittsford				14534			(585) 586-0510				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Di Martino & Assoc			111 Marsh Rd # 2		United States	USA			New York	NY	Pittsford				14534			(585) 381-3700				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Diluigi Mario			180 Canal View Blvd # 100		United States	USA			New York	NY	Rochester				14623			(585) 427-8900				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dinesh Guglani CPA			1870 Winton Rd S		United States	USA			New York	NY	Rochester				14618			(585) 295-2400				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Donald J Pisaro Tax & Invstmt			455 Empire Blvd		United States	USA			New York	NY	Rochester				14609			(585) 288-6699				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Donna J Hichman Esq			2024 W Henrietta Rd		United States	USA			New York	NY	Rochester				14623			(585) 360-4513				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Doran Paul R CPA			99 Canal Landing Blvd		United States	USA			New York	NY	Rochester				14626			(585) 473-4560				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	DPR Bookkeeping			5152 Lincoln Rd		United States	USA			New York	NY	Ontario				14519			(315) 524-5444				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	DSB Service			W. Crest Drive		United States	USA			New York	NY	Rochester				14606			(585) 703-8489				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dunbar Robert W & Associates			945 Perinton Hills Office Park		United States	USA			New York	NY	Fairport				14450			(585) 223-4090				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Duncan Derek CPA			1703 Monroe Ave		United States	USA			New York	NY	Rochester				14618			(585) 473-3590				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Dunn & Pedro			229 Empire Blvd		United States	USA			New York	NY	Rochester				14609			(585) 224-4020				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	E-Chex Inc			200 Canal View Blvd Ste 200		United States	USA			New York	NY	Rochester				14623			(585) 341-3500				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Edom Gary A CPA			1170 Chili Ave		United States	USA			New York	NY	Rochester				14624			(585) 279-0120				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
																	Efp Group			180 Canal View Blvd Ste 100		United States	USA			New York	NY	Rochester				14623			(585) 427-8900				CPA||Rochester||Accountant||Payroll||Tax||NY		6/29/2013	Active	bronze	Professional Services->Accountants					
