Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,Scarnton Radiator Repair,5085 Southwestern BLVD,,United States,New York,Hamburg,14075,(716) 648-0415,,,,,,Scarnton Radiator Repair,,,5085 Southwestern BLVD,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 648-0415,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Meineke Car Care Center,5085 Southwestern BLVD,,United States,New York,Hamburg,14075,(716) 649-1718,,,,,,Meineke Car Care Center,,,5085 Southwestern BLVD,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-1718,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Hamburg Radiator Auto & Air,5333 Scranton Rd,,United States,New York,Hamburg,14075,(716) 649-8000,,,,,,Hamburg Radiator Auto & Air,,,5333 Scranton Rd,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-8000,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Midas Auto Service Experts,6823 Main St,,United States,New York,Williamsville,14221,(716) 633-5607,,,,,,Midas Auto Service Experts,,,6823 Main St,,United States,USA,,,New York,NY,Williamsville,,,,14221,,,(716) 633-5607,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Midas Auto Service Experts,3968 Legion Dr,,United States,New York,Hamburg,14075,(716) 649-9100,,,,,,Midas Auto Service Experts,,,3968 Legion Dr,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-9100,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,AAMCO Transmissions & Total Car Care,,,United States,New York,,,(877) 702-2626,,,,,,AAMCO Transmissions & Total Car Care,,,,,United States,USA,,,New York,,,,,,,,,(877) 702-2626,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Eastwood Services Inc,601 Two Rod Rd,,United States,New York,Marilla,14102,(716) 652-6258,,,,,,Eastwood Services Inc,,,601 Two Rod Rd,,United States,USA,,,New York,NY,Marilla,,,,14102,,,(716) 652-6258,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Expert Tires,,,United States,New York,,,,,,,,,Expert Tires,,,,,United States,USA,,,New York,,,,,,,,,,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Meineke Car Care Centers,,,United States,New York,,,(866) 205-7340,,,,,,Meineke Car Care Centers,,,,,United States,USA,,,New York,,,,,,,,,(866) 205-7340,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Midas Auto Service Experts,2579 Military Rd,,United States,New York,Niagara Falls,14304,(716) 297-5900,,,,,,Midas Auto Service Experts,,,2579 Military Rd,,United States,USA,,,New York,NY,Niagara Falls,,,,14304,,,(716) 297-5900,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Roy's Radiator Repair,2400 Hyde Park Blvd,,United States,New York,Niagara Falls,14305,(716) 285-1381,,,,,,Roy's Radiator Repair,,,2400 Hyde Park Blvd,,United States,USA,,,New York,NY,Niagara Falls,,,,14305,,,(716) 285-1381,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,One Hour Heating and Air Conditioning,5700 Maelou Dr,,United States,New York,Hamburg,14075,(716) 312-8444,,,,,,One Hour Heating and Air Conditioning,,,5700 Maelou Dr,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 312-8444,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Vacinek Heating & Air Conditioning,504 Pleasant Ave,,United States,New York,Hamburg,14075,(716) 649-3225,,,,,,Vacinek Heating & Air Conditioning,,,504 Pleasant Ave,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-3225,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Window World,61 Innsbruck Dr,,United States,New York,Buffalo,14227,(716) 656-0100,,,,,,Window World,,,61 Innsbruck Dr,,United States,USA,,,New York,NY,Buffalo,,,,14227,,,(716) 656-0100,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,A B & N Plumbing & Heating Co Inc,251 Fayette Ave,,United States,New York,Buffalo,14223,(716) 834-3873,,,,,,A B & N Plumbing & Heating Co Inc,,,251 Fayette Ave,,United States,USA,,,New York,NY,Buffalo,,,,14223,,,(716) 834-3873,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Ohrt & Goodman Inc,358 Center Rd # A,,United States,New York,Buffalo,14224,(716) 674-3582,,,,,,Ohrt & Goodman Inc,,,358 Center Rd # A,,United States,USA,,,New York,NY,Buffalo,,,,14224,,,(716) 674-3582,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Schmit Plumbing & Heating,198 Ontario St,,United States,New York,Buffalo,14207,(716) 875-3324,,,,,,Schmit Plumbing & Heating,,,198 Ontario St,,United States,USA,,,New York,NY,Buffalo,,,,14207,,,(716) 875-3324,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Lincoln Plumbing & Heating,241 Niagara St,,United States,New York,Buffalo,14201,(716) 856-9198,,,,,,Lincoln Plumbing & Heating,,,241 Niagara St,,United States,USA,,,New York,NY,Buffalo,,,,14201,,,(716) 856-9198,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Vilagy Inc,,,United States,New York,Buffalo,14201,(716) 893-7135,,,,,,Vilagy Inc,,,,,United States,USA,,,New York,NY,Buffalo,,,,14201,,,(716) 893-7135,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Sunset Plumbing & Heating,112 Hubbardston Pl,,United States,New York,Buffalo,14228,(716) 691-5619,,,,,,Sunset Plumbing & Heating,,,112 Hubbardston Pl,,United States,USA,,,New York,NY,Buffalo,,,,14228,,,(716) 691-5619,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Licata J Heating & Piping,249 Allen St,,United States,New York,Buffalo,14201,(716) 886-0911,,,,,,Licata J Heating & Piping,,,249 Allen St,,United States,USA,,,New York,NY,Buffalo,,,,14201,,,(716) 886-0911,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Roberson W C Plumbing & Heating,602 E Delavan Ave,,United States,New York,Buffalo,14211,(716) 892-5052,,,,,,Roberson W C Plumbing & Heating,,,602 E Delavan Ave,,United States,USA,,,New York,NY,Buffalo,,,,14211,,,(716) 892-5052,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Pcs Plumbing & Heating Inc,1 Carter St,,United States,New York,Buffalo,14220,(716) 822-4302,,,,,,Pcs Plumbing & Heating Inc,,,1 Carter St,,United States,USA,,,New York,NY,Buffalo,,,,14220,,,(716) 822-4302,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Schmidt Heat & Plumbing,45 Evelyn St,,United States,New York,Buffalo,14207,(716) 876-5812,,,,,,Schmidt Heat & Plumbing,,,45 Evelyn St,,United States,USA,,,New York,NY,Buffalo,,,,14207,,,(716) 876-5812,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,House Crafters,4063 Union Rd,,United States,New York,Buffalo,14225,(716) 626-6777,,,,,,House Crafters,,,4063 Union Rd,,United States,USA,,,New York,NY,Buffalo,,,,14225,,,(716) 626-6777,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Ace Commercial Repair Speclsts,4568 Bailey Ave,,United States,New York,Buffalo,14226,(716) 833-3500,,,,,,Ace Commercial Repair Speclsts,,,4568 Bailey Ave,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,(716) 833-3500,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Joseph Carino Plumbing & Htg,419 Auburn Ave,,United States,New York,Buffalo,14213,(716) 886-7378,,,,,,Joseph Carino Plumbing & Htg,,,419 Auburn Ave,,United States,USA,,,New York,NY,Buffalo,,,,14213,,,(716) 886-7378,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Roofing Consultants Inc,1720 Military Rd,,United States,New York,Buffalo,14217,(716) 875-5665,,,,,,Roofing Consultants Inc,,,1720 Military Rd,,United States,USA,,,New York,NY,Buffalo,,,,14217,,,(716) 875-5665,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Don Powers Inc,224 Pinewood Dr,,United States,New York,Buffalo,14224,(716) 674-0196,,,,,,Don Powers Inc,,,224 Pinewood Dr,,United States,USA,,,New York,NY,Buffalo,,,,14224,,,(716) 674-0196,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Roys Plumbing,140 Cooper Ave,,United States,New York,Tonawanda,14150,(716) 873-5000,,,,,,Roys Plumbing,,,140 Cooper Ave,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(716) 873-5000,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Kandefer Plumbing & Heating,2247 Union Rd,,United States,New York,West Seneca,14224,(716) 668-4677,,,,,,Kandefer Plumbing & Heating,,,2247 Union Rd,,United States,USA,,,New York,NY,West Seneca,,,,14224,,,(716) 668-4677,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,John W Danforth Co,300 Colvin Woods Pkwy,,United States,New York,Tonawanda,14150,(716) 832-2386,,,,,,John W Danforth Co,,,300 Colvin Woods Pkwy,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(716) 832-2386,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Boxhorn's,136 Taylor Dr,,United States,New York,Depew,14043,(716) 684-8444,,,,,,Boxhorn's,,,136 Taylor Dr,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 684-8444,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,On Line Plumbing & Heating Inc,3740 Dogwood Ln,,United States,New York,Hamburg,14075,(716) 649-4462,,,,,,On Line Plumbing & Heating Inc,,,3740 Dogwood Ln,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-4462,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Huber Construction Inc,136 Taylor Dr,,United States,New York,Depew,14043,(716) 681-8881,,,,,,Huber Construction Inc,,,136 Taylor Dr,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 681-8881,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Artistic Plumbing & Heating,39 Rumford St,,United States,New York,Depew,14043,(716) 681-0676,,,,,,Artistic Plumbing & Heating,,,39 Rumford St,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 681-0676,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Braendel Painting & Services Inc.,2234 Niagara Falls Blvd.,,United States,New York,Tonawanda,14150,(716) 845-5544,,,,,,Braendel Painting & Services Inc.,,,2234 Niagara Falls Blvd.,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(716) 845-5544,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Dan Marzec Plumbing & Heating,5029 Broadway,,United States,New York,Depew,14043,(716) 681-0242,,,,,,Dan Marzec Plumbing & Heating,,,5029 Broadway,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 681-0242,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Carroll's Plumbing & Heating,3085 Southwestern Blvd,,United States,New York,Orchard Park,14127,(716) 675-7500,,,,,,Carroll's Plumbing & Heating,,,3085 Southwestern Blvd,,United States,USA,,,New York,NY,Orchard Park,,,,14127,,,(716) 675-7500,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Mattulke Plumbing & Heating,3212 S Creek Rd,,United States,New York,Hamburg,14075,(716) 649-2996,,,,,,Mattulke Plumbing & Heating,,,3212 S Creek Rd,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-2996,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Marty Hall Plumbing & Heating Inc.,308 Niagara St,,United States,New York,North Tonawanda,14120,(716) 692-5323,,,,,,Marty Hall Plumbing & Heating Inc.,,,308 Niagara St,,United States,USA,,,New York,NY,North Tonawanda,,,,14120,,,(716) 692-5323,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Grand Jude Plumbing & Htg Inc,909 Oliver St,,United States,New York,North Tonawanda,14120,(716) 694-5849,,,,,,Grand Jude Plumbing & Htg Inc,,,909 Oliver St,,United States,USA,,,New York,NY,North Tonawanda,,,,14120,,,(716) 694-5849,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Stahl Plumbing & Heating,1611 Ruie Rd,,United States,New York,North Tonawanda,14120,(716) 694-5364,,,,,,Stahl Plumbing & Heating,,,1611 Ruie Rd,,United States,USA,,,New York,NY,North Tonawanda,,,,14120,,,(716) 694-5364,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Peterson Plumbing & Heating,7209 Heinrich Rd,,United States,New York,Hamburg,14075,(716) 648-3660,,,,,,Peterson Plumbing & Heating,,,7209 Heinrich Rd,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 648-3660,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Harrington Plumbing & Heating,6783 E Eden Rd,,United States,New York,Hamburg,14075,(716) 649-8292,,,,,,Harrington Plumbing & Heating,,,6783 E Eden Rd,,United States,USA,,,New York,NY,Hamburg,,,,14075,,,(716) 649-8292,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,J R Swanson Plumbing Co Inc,413 103rd St,,United States,New York,Niagara Falls,14304,(716) 283-3802,,,,,,J R Swanson Plumbing Co Inc,,,413 103rd St,,United States,USA,,,New York,NY,Niagara Falls,,,,14304,,,(716) 283-3802,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Glen Maerten Plumbing & Htg,6839 Ward Rd,,United States,New York,Niagara Falls,14304,(716) 693-4333,,,,,,Glen Maerten Plumbing & Htg,,,6839 Ward Rd,,United States,USA,,,New York,NY,Niagara Falls,,,,14304,,,(716) 693-4333,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Mj Carney Plumbing Svce,6665 Nash Rd,,United States,New York,North Tonawanda,14120,(716) 693-1187,,,,,,Mj Carney Plumbing Svce,,,6665 Nash Rd,,United States,USA,,,New York,NY,North Tonawanda,,,,14120,,,(716) 693-1187,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Ed Gwitt Plumbing & Heating,8336 E Eden Rd,,United States,New York,Eden,14057,(716) 992-9220,,,,,,Ed Gwitt Plumbing & Heating,,,8336 E Eden Rd,,United States,USA,,,New York,NY,Eden,,,,14057,,,(716) 992-9220,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Commercial Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
